Movie,Rating,Genre
Death Note - 06 - Unraveling,N/A,Change File Name
Death Note - 07 - Overcast,N/A,Change File Name
Death Note - 08 - Glare,N/A,Change File Name
Death Note - 09 - Encounter,N/A,Change File Name
Death Note - 10 - Doubt,N/A,Change File Name
Death Note - 11 - Assault,N/A,Change File Name
Death Note - 12 - Love,N/A,Change File Name
Death Note - 13 - Confession,N/A,Change File Name
Death Note - 14 - Friend,N/A,Change File Name
Death Note - 15 - Wager,N/A,Change File Name
Death Note - 16 - Decision,N/A,Change File Name
Death Note - 17 - Execution,N/A,Change File Name
Death Note - 18 - Ally,N/A,Change File Name
Death Note - 19 - Matsuda,N/A,Change File Name
Death Note - 20 - Makeshift,N/A,Change File Name
Death Note - 21 - Performance,N/A,Change File Name
Death Note - 22 - Guidance,N/A,Change File Name
Death Note - 23 - Frenzy,N/A,Change File Name
Death Note - 24 - Revival,N/A,Change File Name
Death Note - 25 - Silence,N/A,Change File Name
Death Note - 26 - Renewal,N/A,Change File Name
Death Note - 27 - Abduction,N/A,Change File Name
Death Note - 28 - Impatience,N/A,Change File Name
Death Note - 29 - Father,N/A,Change File Name
Death Note - 30 - Justice,N/A,Change File Name
Death Note - 31 - Transfer,N/A,Change File Name
Death Note - 32 - Selection,N/A,Change File Name
Death Note - 33 - Scorn,N/A,Change File Name
Death Note - 34 - Vigilance,N/A,Change File Name
Death Note - 35 - Malice,N/A,Change File Name
Death Note - 36 - 1.28 {C_P},N/A,Change File Name
Death Note - 37 - New World {C_P},N/A,Change File Name
